ILOIPv4Address;ILOIPv6Address;iLOHostName;iLOHealth;ServerHostName;SerialNumber;ProductName;ServerOS;ServerOSVersion;ServerStatus;HealthStatus;iLOFirmware;SystemRom;LicenseKey;LicenseType;LicenseName;SystemRomBackup;IntelligentProvisioning;IntelligentPlatformAbstractionData;PowerManagementControllerFirmware;PowerManagementControllerBootloader;SystemProgrammableLogicDevice;ServerPlatformServicesFirmware;PCIDevices-Name;PCIDevices-Version;PCIDevices-Location;Software-Name;Software-Version;Software-Description;NetworkDevices-Name;NetworkDevices-Version;ArrayControllers-Name;ArrayControllers-Version;StorageDevicesName;StorageDevicesVersion;PhysicalDrivesName;PhysicalDrivesVersion;ProcessorName;ProcessorStatus;NumberOfProcessors;NumberOfCores;TotalMemory;NumberOfDimms;MemoryStatus;NumberOfFans;NumberOfPowerSupplies;BiosOrHardwareHealth;FansHealth;NetworkHealth;PowerSuppliesHealth;StorageHealth;Temperatures;PowerSupplyRedundancy;SmartStorageBatteryHealth;FanRedundancy;Column1
10.0.10.10;FE80::B67A:F1FF:FE4E:8E32;Not Available;OK;infraesxi12;CN70421C4Z;ProLiant DL365 Gen10 Plus;VMware ESXi;7.0.3 Build-19482537 Update 3 Patch 35;Server Inventory Completed;OK;2.65 Feb 23 2022;A42 v2.40 (02/23/2021);XXXXX-XXXXX-XXXXX-XXXXX-GGQYW;Internal;iLO Advanced limited-distribution test;A42 v2.40 (01/14/2021);3.60.52;7.14.0 Build 14;1.0.7;2022.01.01;0x2E;Not Available;Embedded Video Controller,HPE SN1600E 32Gb 2p FC HBA,HPE Eth 10/25Gb 2P 642SFP28 OCP3 Adptr,HPE Smart Array P408i-a SR Gen10;2.5,12.4.270.14,16.29.1016,Not Available;Embedded,PCI-E Slot 1,OCP Slot 10,Storage Controller Slot 12;Broadcom-ELX-IMA-plugin,Broadcom-ELX-brcmfcoe,Broadcom-ELX-lpfc,Broadcom-bnxt-Net-RoCE,Broadcom-elxiscsi,Broadcom-elxnet,Broadcom-lsi-mr3,Broadcom-lsiv2-drivers-plugin,Broadcom-ntg3,HPE-Utility-Component,HPE-hpv2-hpsa-plugin,HPE-nhpsa,Intel-NVMe-Vol-Mgmt-Dev-Plugin,Intel-Volume-Mgmt-Device,Intel-i40en,Intel-icen,Intel-igbn,Intel-ixgben,MRVL-E3-Ethernet,MRVL-E3-Ethernet-iSCSI-FCoE,MRVL-E4-CNA-Driver-Bundle,MRVL-QLogic-FC,Mellanox-NATIVE-NMST,Mellanox-nmlx4,Mellanox-nmlx5,Microchip-smartpqi,Microchip-smartpqiv2-plugin,Pensando-ionic-en,Solarflare-NIC,amsdComponent,amshelprComponent,cru-driver,fc-enablement-component,hpe-upgrade-component,hpessacli-component,ilo-driver,ilorest-component,smxProvider,sutComponent,vnic-enablement-component,vsphere-fdm;12.0.1200.0-4vmw.703.0.20.19193900,12.0.1500.2-3vmw.703.0.20.19193900,14.0.169.25-5vmw.703.0.35.19482537,219.0.235.0-1OEM.700.1.0.15843807,12.0.1200.0-9vmw.703.0.20.19193900,12.0.1250.0-5vmw.703.0.20.19193900,7.718.02.00-1vmw.703.0.20.19193900,1.0.0-10vmw.703.0.35.19482537,4.1.7.0-0vmw.703.0.20.19193900,10.8.0.700-22,1.0.0-3vmw.703.0.20.19193900,70.0051.0.100-4vmw.703.0.20.19193900,2.7.2173-1vmw.703.0.20.19193900,2.7.0.1157-2vmw.703.0.20.19193900,2.1.5.0-1OEM.700.1.0.15843807,1.7.4.0-1OEM.700.1.0.15843807,1.5.2.0-1OEM.700.1.0.15843807,1.10.3.0-1OEM.700.1.0.15843807,1.1.0.11-1vmw.703.0.20.19193900,3.0.157.0-1OEM.700.1.0.15843807,5.0.278.0-1OEM.700.1.0.15843807,4.1.34.0-1OEM.700.1.0.15843807,4.14.3.3-1OEM.700.1.0.15525992,3.19.70.1-1OEM.670.0.0.8169922,4.21.71.101-1OEM.702.0.0.17630552,70.4150.0.119-1OEM.700.1.0.15843807,1.0.0-8vmw.703.0.20.19193900,18.0.0-1OEM.700.1.0.15843807,2.4.0.2010-6vmw.703.0.20.19193900,701.11.8.0.15-1,701.11.8.0.12-1,700.10.16-1OEM.700.0.0.14828939,700.3.8.0.6-1,1.1.4-1OEM.700.1.0.15843807,5.30.6.0-7.0.0,700.10.7.5.2-1OEM.700.1.0.15843807,700.3.3.0.3-15843807,700.03.16.00.12-14828939,701.2.9.1.9-0,700.2.10.10-1,7.0.3-19717406;IMA plugin for elxiscsi driver,Emulex FCoE Driver,Broadcom Emulex Connectivity Division lpfc driver for FC adapters,Broadcom NetXtreme-E VMKAPI network and RoCE driver,iscsi driver for VMware ESX,net driver for VMware ESX,Broadcom Native MegaRAID SAS,LSI NATIVE DRIVERS LSU Management Plugin,Broadcom NetXtreme I ESX VMKAPI ethernet driver,HPE Utility Component for ESXi 10.8.0.700-22,HPSA LSU Management Plugin,HPSA native driver,INTEL VMD LSU Management Plugin,Intel NVME Driver with VMD Technology,i40en: Network driver for Intel(R) X710/XL710/XXV710/X722 Adapters,icen: Network driver for Intel(R) E810 Adapters,igbn: Network driver for Intel(R) 1 Gigabit Server NIC,ixgben: Network driver for Intel(R) 10 Gigabit Adapters,Network driver for QLogic NetXtreme II PCI/PCIe Gigabit Ethernet Adapters,QLogic NetXtreme II 10 Gigabit Network/iSCSI/FCoE E3 drivers for VMware ESXi,Marvell Technology Network/iSCSI/FCoE/RDMA E4 drivers for VMware ESXi,qlnativefc: QLogic Fibre Channel HBA Driver,Mellanox NATIVE_NMST Drivers,Mellanox Native OFED ConnectX-3 Drivers,NVIDIA Mellanox Native Drivers for x86 VMware ESXi,smartpqi: SmartPqi Native driver,SMARTPQI LSU Management Plugin,ionic_en: Pensando Systems Native Ethernet Driver,Networking driver for Solarflare XtremeScale SFC9xxx Ethernet Controller,amsdComponent: Agentless Management Service for Gen10 and Gen10Plus,amshelprComponent: Agentless Management Service for Gen9,cru: cru driver,Fiber Channel and Storage Enablement Bundle for ESXi,HPE Upgrade Component for ESXi 7.0.0,Smart Storage Administrator CLI for ESXi,ilo: ilo driver,Command line tool for interacting with the iLO Rest API.,smx:WBEM Providers for ESXi 7.0,sut: Integrated Smart Update Tool,Virtual NIC Enablement Bundle for ESXi,This component provides the High Availability services for vSphere virtual machines on an ESXi host.;HPE Eth 10/25Gb 2P 642SFP28 OCP3 Adptr,HPE SN1600E 32Gb 2p FC HBA;16.29.1016,12.4.270.14;HPE Smart Array P408i-a SR Gen10;3.53;HPE Smart Array P408i-a SR Gen10;3.53;EH000300JWCPK,EH000300JWHPL;HPD5,HPD4;AMD EPYC 7713 64-Core Processor                ;OK;2;64;384;20;OK;7;2;OK;OK;OK;OK;OK;OK;Redundant;OK;Redundant;
10.0.10.11;FE80::B67A:F1FF:FE4E:8EF0;Not Available;OK;infraesxi11.hpelab.local;CN70421C42;ProLiant DL365 Gen10 Plus;VMware ESXi;7.0.3 Build-19193900 Update 3 Patch 20;Server Inventory Completed;OK;2.65 Feb 23 2022;A42 v2.40 (11/26/2020);XXXXX-XXXXX-XXXXX-XXXXX-6H34W;Perpetual;iLO Advanced;A42 v2.40 (11/26/2020);3.60.38;7.10.0 Build 9;1.0.7;2022.01.01;0x2C;Not Available;Embedded Video Controller,HPE SN1600E 32Gb 2p FC HBA,Ethernet 10/25Gb 2-port SFP28 MCX562A-ACAI OCP3 Adapter,HPE Smart Array P408i-a SR Gen10;2.5,12.6.275.12,16.28.4000,Not Available;Embedded,PCI-E Slot 1,OCP Slot 10,Storage Controller Slot 12;Broadcom-ELX-IMA-plugin,Broadcom-ELX-brcmfcoe,Broadcom-ELX-lpfc,Broadcom-bnxt-Net-RoCE,Broadcom-elxiscsi,Broadcom-elxnet,Broadcom-lsi-mr3,Broadcom-lsiv2-drivers-plugin,Broadcom-ntg3,HPE-Utility-Component,HPE-hpv2-hpsa-plugin,HPE-nhpsa,Intel-NVMe-Vol-Mgmt-Dev-Plugin,Intel-Volume-Mgmt-Device,Intel-i40en,Intel-icen,Intel-igbn,Intel-ixgben,MRVL-E3-Ethernet,MRVL-E3-Ethernet-iSCSI-FCoE,MRVL-E4-CNA-Driver-Bundle,MRVL-QLogic-FC,Mellanox-NATIVE-NMST,Mellanox-nmlx4,Mellanox-nmlx5,Microchip-smartpqi,Microchip-smartpqiv2-plugin,Pensando-ionic-en,Solarflare-NIC,amsdComponent,amshelprComponent,cru-driver,fc-enablement-component,hpe-upgrade-component,hpessacli-component,ilo-driver,ilorest-component,smxProvider,sutComponent,vnic-enablement-component,vsphere-fdm;12.0.1200.0-4vmw.703.0.20.19193900,12.0.1500.2-3vmw.703.0.20.19193900,14.0.169.25-5vmw.703.0.20.19193900,218.0.243.0-1OEM.700.1.0.15843807,12.0.1200.0-9vmw.703.0.20.19193900,12.0.1250.0-5vmw.703.0.20.19193900,7.718.02.00-1vmw.703.0.20.19193900,1.0.0-9vmw.703.0.20.19193900,4.1.7.0-0vmw.703.0.20.19193900,10.8.0.700-22,1.0.0-3vmw.703.0.20.19193900,70.0051.0.100-4vmw.703.0.20.19193900,2.7.2173-1vmw.703.0.20.19193900,2.7.0.1157-2vmw.703.0.20.19193900,1.11.1.31-1vmw.703.0.20.19193900,1.6.2.0-1OEM.700.1.0.15843807,1.5.2.0-1OEM.700.1.0.15843807,1.9.12.0-1OEM.700.1.0.15843807,1.1.0.11-1vmw.703.0.20.19193900,3.0.143.0-1OEM.700.1.0.15843807,5.0.269.0-1OEM.700.1.0.15843807,4.1.34.0-1OEM.700.1.0.15843807,4.14.3.3-1OEM.700.1.0.15525992,3.19.70.1-1OEM.670.0.0.8169922,4.21.71.101-1OEM.702.0.0.17630552,70.4150.0.119-1OEM.700.1.0.15843807,1.0.0-8vmw.703.0.20.19193900,18.0.0-1OEM.700.1.0.15843807,2.4.0.2010-6vmw.703.0.20.19193900,701.11.8.0.15-1,701.11.8.0.12-1,700.10.16-1OEM.700.0.0.14828939,700.3.8.0.6-1,1.1.4-1OEM.700.1.0.15843807,5.20.8.0-7.0.0,700.10.7.5.2-1OEM.700.1.0.15843807,700.3.3.0.3-15843807,700.03.16.00.12-14828939,701.2.9.0.21-0,700.2.00.6-1,7.0.3-19717406;IMA plugin for elxiscsi driver,Emulex FCoE Driver,Broadcom Emulex Connectivity Division lpfc driver for FC adapters,Broadcom NetXtreme-E VMKAPI network and RoCE driver,iscsi driver for VMware ESX,net driver for VMware ESX,Broadcom Native MegaRAID SAS,LSI NATIVE DRIVERS LSU Management Plugin,Broadcom NetXtreme I ESX VMKAPI ethernet driver,HPE Utility Component for ESXi 10.8.0.700-22,HPSA LSU Management Plugin,HPSA native driver,INTEL VMD LSU Management Plugin,Intel NVME Driver with VMD Technology,Network driver for Intel(R) X710/XL710/XXV710/X722 Adapters,icen: Network driver for Intel(R) E810 Adapters,igbn: Network driver for Intel(R) 1 Gigabit Server NIC,ixgben: Network driver for Intel(R) 10 Gigabit Adapters,Network driver for QLogic NetXtreme II PCI/PCIe Gigabit Ethernet Adapters,QLogic NetXtreme II 10 Gigabit Network/iSCSI/FCoE E3 drivers for VMware ESXi,Marvell Technology Network/iSCSI/FCoE/RDMA E4 drivers for VMware ESXi,qlnativefc: QLogic Fibre Channel HBA Driver,Mellanox NATIVE_NMST Drivers,Mellanox Native OFED ConnectX-3 Drivers,NVIDIA Mellanox Native Drivers for x86 VMware ESXi,smartpqi: SmartPqi Native driver,SMARTPQI LSU Management Plugin,ionic_en: Pensando Systems Native Ethernet Driver,Networking driver for Solarflare XtremeScale SFC9xxx Ethernet Controller,amsdComponent: Agentless Management Service for Gen10 and Gen10Plus,amshelprComponent: Agentless Management Service for Gen9,cru: cru driver,Fiber Channel and Storage Enablement Bundle for ESXi,HPE Upgrade Component for ESXi 7.0.0,Smart Storage Administrator CLI for ESXi,ilo: ilo driver,Command line tool for interacting with the iLO Rest API.,smx:WBEM Providers for ESXi 7.0,sut: Integrated Smart Update Tool,Virtual NIC Enablement Bundle for ESXi,This component provides the High Availability services for vSphere virtual machines on an ESXi host.;Ethernet 10/25Gb 2-port SFP28 MCX562A-ACAI OCP3 Adapter,HPE SN1600E 32Gb 2p FC HBA;16.28.4000,12.6.275.12;HPE Smart Array P408i-a SR Gen10;3.21;HPE Smart Array P408i-a SR Gen10;3.21;EH000300JWHPL;HPD4;AMD EPYC 7713 64-Core Processor                ;OK;2;64;384;20;OK;7;2;OK;OK;OK;OK;OK;OK;Redundant;OK;Redundant;
